구분,화장실명,소재지도로명주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,연락처,개방시간,설치년도,소재지지번주소,LON,LAT,데이터기준일자
공중화장실,사동주유소,경기도 안산시 상록구 항가울로 22 (사동),N,3,1,0,0,0,0,2,0,0,개인,,24시간,1996-11-27,,126.8476766,37.2838176,2016-05-31
공중화장실,선광주유소,경기도 안산시 상록구 석호로 202 (사동),N,1,1,0,0,0,0,1,0,0,개인,,24시간,2002-11-05,,126.8532391,37.2949939,2016-05-31
공중화장실,소망주유소,경기도 안산시 상록구 석호로 200 (사동),N,1,2,0,0,0,0,1,0,0,개인,,24시간,1996-10-09,,126.8528916,37.2950584,2016-05-31
공중화장실,관산체육관,경기도 안산시 단원구 원선로 93 (원곡동),N,2,2,2,2,0,0,2,1,0,안산도시공사장,,24시간,1993-09-01,,126.8015734,37.3320195,2016-05-31
공중화장실,원곡2동주민센터,경기도 안산시 단원구 원선로 91 (원곡동),N,4,6,2,2,0,0,4,1,0,원곡2동장,,24시간,1991-06-15,,126.8018317,37.3316091,2016-05-31
공중화장실,안산시공공하수처리장,경기도 안산시 단원구 산성로 107 (초지동),N,4,6,0,0,0,0,4,0,0,안산시상하수도사업소장(하수과장),,24시간,2003-04-01,,126.7978027,37.3074834,2016-05-31
공중화장실,석호공원(관리소),경기도 안산시 상록구 석호공원로 1 (사동),N,3,3,1,1,0,0,6,1,0,안산시장(시민공원과장),,24시간,2003-00-00,,126.8439622,37.3023525,2016-05-31
공중화장실,동남레이크빌1,경기도 안산시 단원구 광덕3로 163  (고잔동),N,4,6,0,0,0,0,4,0,0,관리사무실,,24시간,2003-06-18,,126.827814,37.308337,2016-05-31
공중화장실,동남레이크빌2,경기도 안산시 단원구 광덕3로 165  (고잔동),N,4,6,0,0,0,0,4,0,0,관리사무실,,24시간,2003-00-00,,126.828257,37.308314,2016-05-31
공중화장실,단원어린이도서관,경기도 안산시 단원구 화정로 30 (초지동),N,5,5,6,6,0,0,6,3,0,중앙도서관장,,24시간,2007-07-01,,126.8160775,37.3311059,2016-05-31
공중화장실,상록구청사,경기도 안산시 상록구 항가울로 222 (사동),N,6,8,1,1,0,0,6,1,0,상록구청장(행정지원과장),,24시간,2002-09-00,,126.8442458,37.3004932,2016-05-31
공중화장실,상록수보건소,경기도 안산시 상록구 항가울로 222 (사동),N,6,6,0,0,0,0,10,0,0,상록수보건소장(보건행정과장),,24시간,2007-07-30,,126.8442458,37.3004932,2016-05-31
공중화장실,안산시립노인요양원,경기도 안산시 상록구 차돌배기로 24 (사동),N,3,3,0,0,0,0,3,0,0,안산시장,,24시간,2005-07-00,,126.8461378,37.2996739,2016-05-31
공중화장실,안산시립노인전문병원,경기도 안산시 상록구 차돌배기로 24 (사동),N,12,12,0,0,0,0,24,0,0,병원장,,24시간,2006-10-31,,126.8461378,37.2996739,2016-05-31
공중화장실,시립테니스장,경기도 안산시 단원구 적금로 9 (고잔동),N,2,3,0,0,0,0,3,0,0,안산도시공사장,,24시간,2002-01-01,,126.8245823,37.3090759,2016-05-31
공중화장실,여성비전센터,경기도 안산시 단원구 고잔로 28 (고잔동),N,4,8,0,0,0,0,15,0,0,안산시여성비전센터장,,24시간,1993-11-00,,126.8292069,37.3191959,2016-05-31
공중화장실,국민은행,경기도 안산시 단원구 고잔로 64  (고잔동),N,7,11,1,1,0,0,7,1,0,국민은행,,24시간,1992-08-04,,126.8330837,37.319014,2016-05-31
공중화장실,자유센타빌딩,경기도 안산시 단원구 화랑로 358  (고잔동),N,14,35,0,0,0,0,21,0,0,관리사무실,,24시간,1991-03-16,,126.8274925,37.3209991,2016-05-31
공중화장실,한국씨티은행,경기도 안산시 단원구 고잔로 59  (고잔동),N,15,15,0,0,0,0,10,0,0,관리사무실,,24시간,1993-02-04,,126.8331098,37.319461,2016-05-31
공중화장실,한국외환은행,경기도 안산시 단원구 당곡로 27  (고잔동),N,4,4,0,0,0,0,4,0,0,관리사무실,,24시간,1991-09-10,,126.8331545,37.3196737,2016-05-31
공중화장실,노적봉공원(수련관야외무대옆),경기도 안산시 상록구 삼일로 696 (성포동),N,3,5,2,2,0,0,5,1,0,안산시장(시민공원과장),,24시간,2003-12-00,,126.8532686,37.3262526,2016-05-31
공중화장실,노적봉공원(자연체험학습장),경기도 안산시 상록구 삼일로 696 (성포동),N,0,1,0,0,0,0,1,0,0,안산시장(시민공원과장),,24시간,2000-00-00,,126.8532686,37.3262526,2016-05-31
공중화장실,코스모프라자,경기도 안산시 단원구 고잔2길 45  (고잔동),N,10,15,1,1,0,0,10,1,0,㈜코스모,,24시간,2001-09-17,,126.8361006,37.317919,2016-05-31
